Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.38229078,0.17806195,0.01559937,0.42056841,0.09894522,1.0854704180955042,0.0,0.38171777,0.1931044,0.39408702,0.0046778,0.09444908,0.9316569124276675,0.0,0.00073303,0.00064977,0.00025641,0.0,0.00881325,0.00381622,0.0,0.00837309,3.5e-05,0.8968838171235992,0.6989914035939401,0.0,0.0,0.10482926981344136,0.031023632348181444,0.00191701,0.01819761,0.02088992,0.01820366,0.078972356,0.02263649176762672,0.10407145,0.03457143,0.40908680000000003,1.135769908,0.38995123,0.35209441,3.01e-06,0.04855749,0.0,0.00809042,0.00565631,0.00038246,2.1903649633800005e-06,8.145985401000001e-07,1.07e-06,3.01e-06,0,0.20825785364019614,0.03300984782756993,0.024804238237804213,0.4416081309318543,0.4612140655517578,0,0.4416081309318543,0.4612140655517578,0
00:00:00:02.002,51,0.403521,0.13828541,0.02359073,0.30864921,0.14952344,1.0721593780612837,0.0,0.39477128,0.14729896,0.29639661,0.00964823,0.13715415,0.9737084018854797,0.0,0.00120141,0.00074638,0.00120553,0.0,0.01346057,0.00624389,0.0,0.00169424,7.299e-05,1.8253114093794498,1.947569948284022,0.0,0.0,0.04991773788481987,0.033916922561670726,0.00142033,0.01973764,0.02053904,0.03523794,0.035429424,0.00411264235347184,0.02893345,0.03331365,1.959809192,3.7768170320000003,0.40846726,0.4538655,3.41e-06,0.05844245,0.0,0.01221373,0.00803772,0.00085347,1.93693430646e-06,8.508029196600001e-07,5.6e-07,3.41e-06,0,0.2423383137283851,0.03095265210795503,0.020950009699348415,0.4394538700580597,0.4614455103874207,0,0.4394538700580597,0.4614455103874207,0
00:00:00:03.003,51,0.40391925,0.13613422,0.0235141,0.30936188,0.15176681,1.0773299323201104,0.0,0.39019027,0.14566466,0.29696745,0.0096822,0.13899212,0.9686908402395787,0.0,0.00120513,0.00074468,0.00122283,0.0,0.01389261,0.00615236,0.0,0.00170272,7.286e-05,1.837388644594674,1.9586525421315977,0.0,0.0,0.05099448341700394,0.03403841873191386,0.00139524,0.01988561,0.0207157,0.03692407,0.03541418,0.00402500352993112,0.02959343,0.03347385,1.916033752,3.7143733160000005,0.40218225,0.44643766,3.49e-06,0.05630642,0.0,0.01218084,0.00828842,0.00086731,1.93693430646e-06,8.6890510944e-07,5.6e-07,3.49e-06,0,0.2419317178377108,0.03131569969837054,0.02124619705500563,0.4394911825656891,0.4614479541778565,0,0.4394911825656891,0.4614479541778565,0
00:00:00:04.004,51,0.41577491,0.12923849,0.0228884,0.33483312,0.1687054,1.0911367902576297,0.0,0.4337945,0.14322199,0.32774332,0.00763834,0.14468551,1.0150204511173764,0.0,0.00087391,0.00167038,0.00075962,0.0,0.01800795,0.00512516,0.0,0.00171471,5.646e-05,1.9617660440123388,2.171598903184555,0.0,0.0,0.053425305545271216,0.03479287830657057,0.00185313,0.02950383,0.01933957,0.02262121,0.055876956000000005,0.00437977117703572,0.02494118,0.02830376,1.3028613160000002,2.6328995760000002,0.35718384,0.43139967,3.56e-06,0.0690396,0.0,0.01256043,0.00689745,0.00091255,2.4437956203000004e-06,7.783941605400002e-07,5.2e-07,3.56e-06,0,0.2546788205194261,0.017773021200798943,0.01685772360292841,0.4398123919963837,0.4615536332130432,0,0.4398123919963837,0.4615536332130432,0
00:00:00:05.005,51,0.40041143,0.11619036,0.01720129,0.4469257,0.17868263,1.042655081540805,0.0,0.36225554,0.12185788,0.45474225,0.00362248,0.1597193,0.9556860873989519,0.0,0.0010959,0.00245557,0.00081669,0.0,0.01218055,0.00499652,0.0,0.001383,5.409e-05,2.041129765133631,2.2270458499438046,0.0,0.0,0.07646733789145725,0.05259097192804136,0.00206283,0.02910947,0.01958794,0.02099203,0.07120428,0.00550941117718148,0.02951446,0.03929099,2.2022854360000004,4.198033764000001,0.40212852,0.46730268,4.21e-06,0.05832319,0.0,0.01346945,0.00837881,0.00100818,3.0773722626000004e-06,1.0137226276800001e-06,7.2e-07,4.21e-06,0,0.2626425462524058,0.016169313535080766,0.015797669181372306,0.44050854444503773,0.4604659676551819,0,0.44050854444503773,0.4604659676551819,0
00:00:00:06.006,51,0.40123841,0.1529859,0.03231391,0.26745817,0.1504347,1.0511549220581873,0.0,0.38344124,0.15676019,0.28966779,0.00913787,0.1340234,1.01951722344062,0.0,0.00114571,0.00229867,0.00088561,0.0,0.00921227,0.00573599,0.0,0.00097582,7.393e-05,2.0579965702639993,2.219946922592467,0.0,0.0,0.061805133632472566,0.05409549107735366,0.00237753,0.0234894,0.01856291,0.02083535,0.06075992000000001,0.00529658705950696,0.02925278,0.04317069,2.913517048,5.043594172000001,0.41143718,0.46323165,4.44e-06,0.07151514,0.0,0.01356352,0.00759623,0.00101423,3.0773722626000004e-06,9.05109489e-07,6e-07,4.44e-06,0,0.2618663875134469,0.015051592428702253,0.011993671618273966,0.4377447962760925,0.4590893983840942,0,0.4377447962760925,0.4590893983840942,0
00:00:00:07.007,51,0.38441381,0.12249251,0.02706699,0.30522043,0.18840395,1.0974277236133958,0.0,0.36189404,0.12745568,0.31120023,0.00832857,0.17515343,1.0349690178299946,0.0,0.00111789,0.00145504,0.00094143,0.0,0.01132085,0.0070073,0.0,0.00062787,0.00012703,2.0095667585483854,2.1758971036124573,0.0,0.0,0.05345799660910918,0.03769390128601922,0.00224388,0.02743493,0.01584211,0.01805353,0.047064888000000006,0.00441578588292272,0.0232046,0.03490792,2.4150457960000002,4.31625498,0.45252788,0.48620433,3.73e-06,0.04720465,0.0,0.01491255,0.00937893,0.00090294,3.0773722626000004e-06,8.6890510944e-07,5.4e-07,3.73e-06,0,0.2584545273948244,0.011343181454220651,0.017222954655319242,0.43731439113616943,0.4587739408016205,0,0.43731439113616943,0.4587739408016205,0
00:00:00:08.008,51,0.41032264,0.15471643,0.02575503,0.31296808,0.13924703,1.0531202988004125,0.0,0.36138573,0.15457904,0.31797767,0.00762015,0.13582638,1.0105833896328513,0.0,0.00120217,0.00094962,0.00062041,0.0,0.0135582,0.00732196,0.0,0.00070395,0.00011034,1.9197714986223364,1.9859917529043352,0.0,0.0,0.03518152000879538,0.0177773106427422,0.00304439,0.03599534,0.02469052,0.01509596,0.059552536,0.0050896164712449605,0.02408698,0.02357711,1.772305476,3.91633456,0.51118946,0.57531989,3.41e-06,0.06642295,0.0,0.01035867,0.00768383,0.00068939,3.5118248173200007e-06,1.0137226276800001e-06,4.5e-07,3.41e-06,0,0.2519030046316697,0.012138668727098895,0.029006312102762045,0.4368938505649567,0.4607980847358704,0,0.4368938505649567,0.4607980847358704,0
00:00:00:09.009,51,0.47016612,0.20335168,0.02090231,0.277684,0.1010157,1.08363831415975,0.0,0.46799484,0.22410935,0.27575362,0.01503799,0.08633583,0.9746700772404602,0.0,0.00128683,0.00036618,0.00048967,0.0,0.01017622,0.00849739,0.0,0.00091882,0.00017695,2.165820643098344,2.0710023387272063,0.0,0.0,0.04054032681864572,0.01244364936481304,0.00214629,0.02552926,0.02000048,0.02287568,0.05351902,0.00676259529499024,0.0442279,0.02741612,1.1012434320000002,2.8936831240000003,0.58289641,0.58113468,4.19e-06,0.11385977,0.0,0.00734349,0.00600499,0.00074098,2.29897810206e-06,9.594160583400002e-07,5.2e-07,4.19e-06,0,0.2351071071955125,0.019786297226151918,0.02799795978611312,0.4357289969921112,0.4620088934898377,0,0.4357289969921112,0.4620088934898377,0
00:00:00:10.010,51,0.42641675,0.18572427,0.01934151,0.31355798,0.10479447,1.0757000286101928,0.0,0.4263587,0.21112023,0.30739835,0.01256493,0.09142494,0.9687905289815288,0.0,0.00084343,0.00026519,0.00027765,0.0,0.00524207,0.00610934,0.0,0.00148322,0.00018145,2.1789211323307938,2.001600099829415,0.0,0.0,0.03086878979495124,0.00725149957628096,0.00152838,0.02704098,0.01834808,0.02434238,0.08757219200000001,0.0132487617664154,0.04229036,0.01986859,0.365644804,1.042554476,0.58398378,0.51073903,4.04e-06,0.11247611,0.0,0.0064994,0.00465168,0.00051454,2.3713868611800004e-06,8.145985401000001e-07,7e-07,4.04e-06,0,0.19253545689785367,0.026114670466859047,0.03543303202816078,0.4365205466747284,0.4623151123523712,0,0.4365205466747284,0.4623151123523712,0
